hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,0,0,0,0,utilitas,instalation_olt,0,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,0,0,koordinat
JABAR-ULP.PANGANDARAN-ZXA10.C610-OLT-01,SI_RJBB_PANGANDARAN_SIDAMULIH PANGANDARAN,TASIKMALAYA,KAB. PANGANDARAN,KEC. PANGANDARAN,BABAKAN,UP3 TASIKMALAYA,ULP PANGANDARAN,SI,INDOOR,ZTE,MIKRO OLT,256,0,472,355,75.21%,15 Apr 2020,8,172.25.177.18,JABAR-ULP-PANGANDARAN-ASR920-UPE-01,ON AIR,1359,EXISTING CLUSTER,>2 TAHUN,TUR>50%,117,8,"-7.683313, 108.657733"
JABAR-ODC.TANJUNG.SARI-ZXA10.C610-OLT-01,SI_RJBB_SUMEDANG_TANJUNGSARI TANJUNGSARI,CIREBON,KAB. SUMEDANG,KEC. TANJUNGSARI,GUDANG,UP3 SUMEDANG,ULP TANJUNGSARI,SI,INDOOR,ZTE,MIKRO OLT,256,0,632,539,85.28%,17 Apr 2020,8,172.25.173.106,JABAR-ODC.TANJUNG.SARI-ASR920-UPE-01,ON AIR,1357,EXISTING CLUSTER,>2 TAHUN,TUR>50%,93,8,"-6.89618, 107.80785"
JABAR-ODC.ULP.JATIWANGI-AN5516.04-OLT-01,SI_RJBB_MAJALENGKA_ULP JATIWANGI,CIREBON,KAB. MAJALENGKA,KEC. JATIWANGI,CIBORELANG,UP3 SUMEDANG,ULP JATIWANGI,SI,INDOOR,FIBERHOME,MIKRO OLT,512,0,944,971,102.86%,13 May 2020,16,172.25.169.74,JABAR-ODC.ULP.JATIWANGI-ASR920-UPE-01,ON AIR,1331,EXISTING CLUSTER,>2 TAHUN,TUR>50%,-27,16,"-6.726799, 108.271945"
JABAR-MINI.GRIYA.BANDUNG.ASRI-MA5800.X2-OLT-01,SI_RJBB_KAB. BANDUNG_GRIYA BANDUNG ASRI,BANDUNG,KAB. BANDUNG,KEC. BOJONGSOANG,BUAH BATU,UP3 MAJALAYA,ULP BALEENDAH,SI,INDOOR,HUAWEI,MINI OLT,512,0,576,306,53.13%,15 May 2020,16,172.25.172.164,JABAR-ACC.CIGERELENG-ASR920-UPE-04,ON AIR,1329,EXISTING CLUSTER,>2 TAHUN,TUR>50%,270,16,"-6.985785, 107.632985"
BDG-MINI-POP-TAMAN-CIBADUYUT-INDAH-MA5800X2-OLT-01,SI_RJBB_KAB. BANDUNG_TAMAN CIBADUYUT,BANDUNG,KOTA BANDUNG,KEC. DAYEUHKOLOT,CANGKUANG KULON,UP3 BANDUNG,ULP BANDUNG SELATAN,SI,INDOOR,HUAWEI,MINI OLT,1024,0,816,300,36.76%,15 May 2020,32,172.25.172.163,JABAR-ACC.CIGERELENG-ASR920-UPE-04,ON AIR,1329,EXISTING CLUSTER,>2 TAHUN,TUR <50%,516,32,"-6.963205, 107.597562"
JABAR-BANDUNG.UTARA-AN6001.G16-OLT-01,SI_RJBB_BANDUNG BARAT_CIHANJUANG,BANDUNG,KOTA BANDUNG,KEC. ISOLA,SUKASARI,UP3 BANDUNG,ULP BANDUNG UTARA,SI,INDOOR,FIBERHOME,MIKRO OLT,512,0,424,337,79.48%,11 Jul 2020,16,172.25.167.43,JABAR-BANDUNG.UTARA-ASR920-UPE-01,ON AIR,1272,EXISTING CLUSTER,>2 TAHUN,TUR>50%,87,16,"-6.898373, 107.566963"
JABAR-ODC.PLN.CIKAJANG-ZTE.ZXA10.C320-OLT-01,SI_RJBB_GARUT_CISURUPAN CIKAJANG,TASIKMALAYA,KAB. GARUT,KEC. CISURUPAN,CIDATAR,UP3 GARUT,ULP CIKAJANG,SI,INDOOR,ZTE,MINI OLT,512,8,888,738,83.11%,1 Jul 2020,16,172.25.173.162,JABAR-ODC.ULP.CIKAJANG-ASR920-UPE-01,ON AIR,1282,EXISTING CLUSTER,>2 TAHUN,TUR>50%,150,8,"-7.325937, 107.792736"
JABAR-HARIANG.SUMEDANG-RC-OLT-1,SI_RJBB_SUMEDANG_HARIANG,CIREBON,KAB. SUMEDANG,KEC. BUAHDUA,HARIANG,UP3 SUMEDANG,ULP SUMEDANG KOTA,SI,OUTDOOR,RAISECOM,MIKRO OLT,256,0,320,242,75.63%,9 Jul 2020,8,172.25.177.67,JABAR-APJ.SUMEDANG-ASR920-UPE-02,ON AIR,1274,EXISTING CLUSTER,>2 TAHUN,TUR>50%,78,8,"-6.71042, 107.91632"
JABAR-SUPRATMAN-RC-OLT-01,SI_RJBB_KOTA BANDUNG_CIBEUNYING BANDUNG,BANDUNG,KOTA BANDUNG,KEC. CIBEUNYING KIDUL,SUKAMAJU,UP3 BANDUNG,ULP BANDUNG TIMUR,SI,OUTDOOR,RAISECOM,MIKRO OLT,256,0,408,271,66.42%,16 Jul 2020,8,172.25.169.219,JABAR-ICON.SUPRATMAN-ASR920-UPE-03,ON AIR,1267,EXISTING CLUSTER,>2 TAHUN,TUR>50%,137,8,"-6.907754, 107.628514"
